empresa,sigla,anio,mes,idpozo,prod_pet,prod_gas,prod_agua,tipoextraccion,tipopozo,profundidad,formacion,areayacimiento,provincia,coordenadax,coordenaday
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2023,8,164531,0.0,0.0,0.0,Sin Sistema de Extracción,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2023,9,164531,0.0,0.0,0.0,Sin Sistema de Extracción,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2023,10,164531,1787.99,1060.94603,2152.74,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2023,11,164531,1189.08,661.00951,979.04,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2023,12,164531,1271.42,700.7751700000001,896.9,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2024,1,164531,1884.2,1049.81529,1247.71,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2024,2,164531,633.83,388.92028,485.53,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2024,3,164531,647.37,409.2972400000001,2002.42,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2024,4,164531,1591.47,1021.24661,1926.98,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2024,5,164531,1948.19,1217.46032,1629.01,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2024,6,164531,2434.28,1624.87561,1600.84,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2024,7,164531,2654.6800000000003,2057.55773,2067.72,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2024,8,164531,3674.54,2865.9291,2449.07,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2024,9,164531,3476.06,2669.08599,2406.44,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2024,10,164531,2893.32,1777.53301,2254.04,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2024,11,164531,3938.27,2033.79979,1917.79,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2024,12,164531,2560.11,1111.68806,1780.86,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2025,1,164531,2414.55,1342.0103400000005,1685.18,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2025,2,164531,4437.09,2514.72876,2167.64,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2025,3,164531,2872.66,1679.94708,1369.47,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2025,4,164531,2561.25,1717.6123300000004,1345.28,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2025,5,164531,612.47,272.59114,354.87,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2025,6,164531,869.81,523.25028,2066.8,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2025,7,164531,2202.21,1329.82192,3423.1,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2025,8,164531,2564.15,1750.52793,2556.96,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2025,9,164531,1652.66,797.2514100000002,1089.39,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2025,10,164531,2648.16,1044.04822,1226.16,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2025,11,164531,3410.88,2027.71713,1514.76,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2025,12,164531,2870.8,2229.42778,1449.74,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2026,1,164531,2510.15,1772.995,1080.54,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
CHEVRON ARGENTINA S.R.L.,CHA.Nq.ET-2043(h),2026,2,164531,2077.82,1557.4928,926.69,Surgencia Natural,Petrolífero,5868.0,vaca muerta,EL TRAPIAL ESTE,Neuquén,-69.40031118,-37.48355697
